snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MASR,4600083,DISCO RIG 12TB WD121PURZ,2.0,2679.64
2026-02-23,MASR,4600193,DISCO RIG 14TB WD141PURP,2.0,2650.0
2026-02-23,MASR,4580314,SISTEMA RASTREM VEIC MVD 3204 W,3.0,2639.61
2026-02-23,MASR,4301071,INVERSOR RGT-M 5K 220V/60HZ INRGT05KO,1.0,2578.48
2026-02-23,MASR,4903014,TELEFONE S/FIO TS3130 PT REM,30.0,2484.3
2026-02-23,MASR,4563300,CAMERA VID IP B VIP 7250 LPR IA FT G2,2.0,2467.08
2026-02-23,MASR,1871083,"INVERSOR ON GRID 7,5KW IONS-7,5K M7 AFCI",1.0,2267.98
2026-02-23,MASR,4842946,INVERSOR ON GRID 5KW IONS-5K M5,1.0,1956.71
2026-02-23,MASR,4301067,INVERSOR RGT-M 3K 220V/60HZ INRGT03KO,1.0,1916.74
2026-02-23,MASR,1870977,INVERSOR ON GRID 6KW IONS-6K M5 AFCI,1.0,1800.64
2026-02-23,MASR,4950048,CAMERA VID IP VIP 5432 SD IA FT,1.0,1713.66
2026-02-23,MASR,4841031,"INVERSOR ON GRID 3,0KW EGT 3000 LITE",1.0,1358.18
2026-02-23,MASR,1871081,MICROINVERSOR FOTOVOLTAICO 2KW IONS-2K M,2.0,1338.18
